mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6260957717895508,0.1107933488429394,0.009408092498779297,0.006979372121057839,0.001,5,sqrt,100,"{'learning_rate': 0.001, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}",-0.892764110788028,-1.1230865457135408,-1.1908529340788871,-1.0575019600935525,-0.8584320983523479,-1.0245275298052712,0.12916239678565228,17
0.8158437252044678,0.11956136838035933,0.008349037170410157,0.0039065980564106225,0.001,5,sqrt,250,"{'learning_rate': 0.001, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 250}",-0.8818031839675101,-1.108945770441842,-1.17753586130778,-1.0432752325734034,-0.8477075102735967,-1.0118535117128264,0.12784511703573062,11
1.762820053100586,0.3471490934926117,0.011398696899414062,0.0024357318061368127,0.001,5,sqrt,500,"{'learning_rate': 0.001, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 500}",-0.8670465099577048,-1.0934779725028467,-1.167354184910888,-1.030086133910827,-0.8400075989075034,-0.9995944800379538,0.12721957922717853,3
0.4306629180908203,0.1856305345679987,0.008176326751708984,0.006143968942109883,0.001,5,log2,100,"{'learning_rate': 0.001, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100}",-0.892764110788028,-1.1230865457135408,-1.1908529340788871,-1.0575019600935525,-0.8584320983523479,-1.0245275298052712,0.12916239678565228,17
0.7676181793212891,0.10565067344000825,0.006937408447265625,0.001245890850633021,0.001,5,log2,250,"{'learning_rate': 0.001, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 250}",-0.8818031839675101,-1.108945770441842,-1.17753586130778,-1.0432752325734034,-0.8477075102735967,-1.0118535117128264,0.12784511703573062,11
1.571437931060791,0.2246051454215482,0.017424488067626955,0.014974938562412575,0.001,5,log2,500,"{'learning_rate': 0.001, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 500}",-0.8670465099577048,-1.0934779725028467,-1.167354184910888,-1.030086133910827,-0.8400075989075034,-0.9995944800379538,0.12721957922717853,3
0.4762706756591797,0.06398723680572978,0.006047964096069336,0.0001234792815755019,0.001,10,sqrt,100,"{'learning_rate': 0.001, 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}",-0.8856965944919671,-1.1216966411136347,-1.1897834099981417,-1.0603042421004159,-0.8530434851904707,-1.0221048745789258,0.13166835241554142,15
1.232577419281006,0.17061131721645198,0.012441444396972656,0.003131960806139786,0.001,10,sqrt,250,"{'learning_rate': 0.001, 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 250}",-0.86704911630377,-1.108943935970633,-1.178352928969296,-1.0499337126397077,-0.8362647203627835,-1.008108882849238,0.13440858118651328,9
2.4909807205200196,0.33815402816482965,0.021158695220947266,0.005349763469537631,0.001,10,sqrt,500,"{'learning_rate': 0.001, 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 500}",-0.8466507906026947,-1.0954909021894534,-1.172799172975639,-1.050840469603403,-0.8287165632166923,-0.9988995797175765,0.1374123437298158,1
0.49855775833129884,0.06148433140195393,0.006595420837402344,0.000765946948460536,0.001,10,log2,100,"{'learning_rate': 0.001, 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100}",-0.8856965944919671,-1.1216966411136347,-1.1897834099981417,-1.0603042421004159,-0.8530434851904707,-1.0221048745789258,0.13166835241554142,15
1.2447693347930908,0.19375730464119353,0.01127166748046875,0.0025917933679021014,0.001,10,log2,250,"{'learning_rate': 0.001, 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 250}",-0.86704911630377,-1.108943935970633,-1.178352928969296,-1.0499337126397077,-0.8362647203627835,-1.008108882849238,0.13440858118651328,9
2.5279383182525637,0.3317408731507574,0.01960463523864746,0.003944689899009186,0.001,10,log2,500,"{'learning_rate': 0.001, 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 500}",-0.8466507906026947,-1.0954909021894534,-1.172799172975639,-1.050840469603403,-0.8287165632166923,-0.9988995797175765,0.1374123437298158,1
0.6049878120422363,0.08744789852530337,0.009141778945922852,0.0016773478248724378,0.001,15,sqrt,100,"{'learning_rate': 0.001, 'max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 100}",-0.8814084857083101,-1.1192729476834093,-1.190509845693562,-1.056724965354362,-0.8522071786246148,-1.0200246846128516,0.1323929638557876,13
1.5480752468109131,0.21769941705588527,0.015430736541748046,0.0023245301236152907,0.001,15,sqrt,250,"{'learning_rate': 0.001, 'max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 250}",-0.8587058244836583,-1.1060215129653779,-1.1827613854093828,-1.048065345626724,-0.8385388943443355,-1.0068185925658955,0.13620119625754773,7
3.1970582485198973,0.3817753965332169,0.029497671127319335,0.004315057667409041,0.001,15,sqrt,500,"{'learning_rate': 0.001, 'max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 500}",-0.8383862847249177,-1.0961986451984185,-1.1856821801157795,-1.0465660463125412,-0.8332003007825031,-1.000006691426832,0.14130929227756295,5
0.625875997543335,0.11251913158153345,0.0074497699737548825,0.0004121102098967386,0.001,15,log2,100,"{'learning_rate': 0.001, 'max_depth': 15, 'max_features': 'log2', 'n_estimators': 100}",-0.8814084857083101,-1.1192729476834093,-1.190509845693562,-1.056724965354362,-0.8522071786246148,-1.0200246846128516,0.1323929638557876,13
