date,home_team,away_team,rank_home,rank_away,home_score,away_score,result,rank_dif,rank_change_home,rank_change_away,home_goals_mean,home_goals_mean_l5,home_goals_suf_mean,home_goals_suf_mean_l5,home_rank_mean,home_rank_mean_l5,home_points_mean,home_points_mean_l5,away_goals_mean,away_goals_mean_l5,away_goals_suf_mean,away_goals_suf_mean_l5,away_rank_mean,away_rank_mean_l5,away_points_mean,away_points_mean_l5,home_game_points_mean,home_game_points_mean_l5,home_game_points_rank_mean,home_game_points_rank_mean_l5,away_game_points_mean,away_game_points_mean_l5,away_game_points_rank_mean,away_game_points_rank_mean_l5,is_friendly_0,is_friendly_1,total_games_away,total_games_home,home_weight_goals,away_weight_goals_suf,home_weight_goals_l5,away_weight_goals_suf_l5,home_weight_points,away_weight_points,away_weight_goals,home_weight_goals_suf,away_weight_goals_l5,home_weight_goals_suf_l5
2021-06-08,Colombia,Argentina,15.0,8.0,2,2,2,7.0,0.0,0.0,1.8,1.8,2.2,2.2,27.2,27.2,-21.339999999999918,-21.339999999999918,1.4,1.4,0.6,0.6,43.4,43.4,18.950000000000045,18.950000000000045,1.4,1.4,0.05798692810457516,0.05798692810457516,2.2,2.2,0.0586156015037594,0.0586156015037594,True,False,4,4,12.6,4.2,12.6,4.2,9.799999999999999,15.400000000000002,9.799999999999999,15.400000000000002,9.799999999999999,15.400000000000002
2021-06-08,Venezuela,Uruguay,30.0,9.0,0,0,2,21.0,0.0,0.0,0.6,0.6,1.8,1.8,30.2,30.2,-16.289999999999964,-16.289999999999964,1.4,1.4,1.4,1.4,25.8,25.8,-5.920000000000073,-5.920000000000073,0.6,0.6,0.03529411764705882,0.03529411764705882,1.4,1.4,0.10100840336134453,0.10100840336134453,True,False,4,4,12.6,29.4,12.6,29.4,12.6,29.4,29.4,37.800000000000004,29.4,37.800000000000004
2021-06-08,Paraguay,Brazil,35.0,3.0,0,2,1,32.0,0.0,0.0,1.2,1.2,1.0,1.0,28.6,28.6,15.019999999999982,15.019999999999982,2.8,2.8,0.4,0.4,37.0,37.0,30.65000000000009,30.65000000000009,1.4,1.4,0.08284477688275158,0.08284477688275158,3.0,3.0,0.15373633913256554,0.15373633913256554,True,False,4,4,38.4,12.8,38.4,12.8,44.8,96.0,89.6,32.0,89.6,32.0
2021-06-08,Chile,Bolivia,19.0,81.0,1,1,2,-62.0,0.0,0.0,1.5,1.6,1.3333333333333333,1.2,25.833333333333332,29.8,-9.480000000000018,-9.480000000000018,1.4285714285714286,1.8,2.4285714285714284,2.0,30.142857142857142,39.8,-23.8900000000001,-13.8900000000001,1.3333333333333333,1.6,0.06466244725738396,0.07759493670886075,0.5714285714285714,0.8,0.018367346938775512,0.025714285714285717,True,False,6,5,-93.0,-150.57142857142856,-99.2,-124.0,-82.66666666666666,-35.42857142857142,-88.57142857142857,-82.66666666666666,-111.60000000000001,-74.39999999999999
2021-06-13,Brazil,Venezuela,3.0,30.0,3,0,0,-27.0,0.0,0.0,2.6666666666666665,2.2,0.3333333333333333,0.4,36.666666666666664,29.0,30.65000000000009,30.65000000000009,0.5,0.6,1.5,1.2,26.666666666666668,30.0,-16.289999999999964,-16.289999999999964,3.0,3.0,0.1423993302295189,0.16287919627542266,0.6666666666666666,0.8,0.04793028322440087,0.05751633986928104,True,False,5,5,-72.0,-40.5,-59.400000000000006,-32.4,-81.0,-18.0,-13.5,-9.0,-16.2,-10.8
2021-06-13,Colombia,Ecuador,15.0,53.0,1,0,0,-38.0,0.0,0.0,1.8333333333333333,1.6,2.1666666666666665,2.6,24.0,23.8,-21.339999999999918,-21.339999999999918,2.2857142857142856,2.4,1.5714285714285714,1.6,30.428571428571427,39.6,45.00999999999999,33.00999999999999,1.3333333333333333,1.0,0.06915577342047931,0.05898692810457516,1.7142857142857142,1.8,0.1251356238698011,0.07518987341772151,True,False,6,5,-69.66666666666666,-59.714285714285715,-60.800000000000004,-60.800000000000004,-50.666666666666664,-65.14285714285714,-86.85714285714285,-82.33333333333333,-91.2,-98.8
2021-06-14,Argentina,Chile,8.0,19.0,1,1,2,-11.0,0.0,0.0,1.5,1.6,0.8333333333333334,1.0,38.666666666666664,33.6,18.950000000000045,18.950000000000045,1.4285714285714286,1.4,1.2857142857142858,1.0,33.714285714285715,44.0,-9.480000000000018,-0.4800000000000182,2.0,1.8,0.05995744569757727,0.06257393483709273,1.2857142857142858,1.6,0.0571886232223785,0.060064072511329905,True,False,6,5,-16.5,-14.142857142857144,-17.6,-11.0,-22.0,-14.142857142857144,-15.714285714285715,-9.166666666666668,-15.399999999999999,-11.0
2021-06-14,Paraguay,Bolivia,35.0,81.0,3,1,0,-46.0,0.0,0.0,1.0,0.8,1.1666666666666667,1.0,24.333333333333332,24.8,15.019999999999982,15.019999999999982,1.375,1.6,2.25,1.6,28.75,31.6,-23.8900000000001,-13.8900000000001,1.1666666666666667,1.2,0.06903731406895965,0.07375386779184248,0.625,1.0,0.022650375939849626,0.0362406015037594,True,False,7,5,-46.0,-103.5,-36.800000000000004,-73.60000000000001,-53.66666666666667,-28.75,-63.25,-53.66666666666667,-73.60000000000001,-46.0
2021-06-17,Colombia,Venezuela,15.0,30.0,0,0,2,-15.0,0.0,0.0,1.7142857142857142,1.4,1.8571428571428572,2.2,28.142857142857142,31.0,-21.339999999999918,-30.339999999999918,0.42857142857142855,0.6,1.7142857142857142,1.6,23.285714285714285,22.6,-16.289999999999964,7.710000000000036,1.5714285714285714,1.4,0.06736263058682593,0.05854297693920335,0.5714285714285714,0.8,0.04108309990662932,0.05751633986928104,True,False,6,6,-25.71428571428571,-25.71428571428571,-21.0,-24.0,-23.57142857142857,-8.571428571428571,-6.428571428571428,-27.857142857142858,-9.0,-33.0
2021-06-17,Brazil,Peru,3.0,27.0,4,0,0,-24.0,0.0,0.0,2.7142857142857144,2.0,0.2857142857142857,0.0,35.714285714285715,30.6,30.65000000000009,17.65000000000009,1.0,0.8,2.3333333333333335,2.4,22.666666666666668,19.2,-32.11999999999989,-32.11999999999989,3.0,3.0,0.13634228305387336,0.15560646900269542,0.6666666666666666,0.6,0.013600628930817612,0.011320754716981133,True,False,5,6,-65.14285714285714,-56.0,-48.0,-57.599999999999994,-72.0,-16.0,-24.0,-6.857142857142857,-19.200000000000003,-0.0
2021-06-18,Chile,Bolivia,19.0,81.0,1,0,0,-62.0,0.0,0.0,1.375,1.2,1.25,1.2,30.5,40.8,-9.480000000000018,-0.4800000000000182,1.3333333333333333,1.4,2.3333333333333335,1.8,29.444444444444443,31.6,-23.8900000000001,-6.8900000000001,1.25,1.2,0.06566504531958119,0.06006407251132989,0.5555555555555556,0.8,0.020133667502088556,0.030526315789473686,True,False,8,7,-85.25,-144.66666666666669,-74.39999999999999,-111.60000000000001,-77.5,-34.44444444444444,-82.66666666666666,-77.5,-86.8,-74.39999999999999
