date,home_team,away_team,rank_home,rank_away,home_score,away_score,result,rank_dif,rank_change_home,rank_change_away,home_goals_mean,home_goals_mean_l5,home_goals_suf_mean,home_goals_suf_mean_l5,home_rank_mean,home_rank_mean_l5,home_points_mean,home_points_mean_l5,away_goals_mean,away_goals_mean_l5,away_goals_suf_mean,away_goals_suf_mean_l5,away_rank_mean,away_rank_mean_l5,away_points_mean,away_points_mean_l5,home_game_points_mean,home_game_points_mean_l5,home_game_points_rank_mean,home_game_points_rank_mean_l5,away_game_points_mean,away_game_points_mean_l5,away_game_points_rank_mean,away_game_points_rank_mean_l5,is_friendly_0,is_friendly_1
2021-03-26,Chile,Bolivia,17.0,79.0,2,1,0,-62.0,0.0,0.0,1.5,1.5,1.5,1.5,17.0,17.0,-9.0,-9.0,1.25,1.25,3.0,3.0,26.75,26.75,-10.0,-10.0,1.0,1.0,0.05625,0.05625,0.25,0.25,0.007142857142857143,0.007142857142857143,False,True
2021-03-29,Ecuador,Bolivia,57.0,79.0,2,1,0,-22.0,1.0,0.0,3.25,3.25,1.5,1.5,26.0,26.0,12.0,12.0,1.2,1.2,2.8,2.8,24.8,24.8,-17.0,-17.0,2.25,2.25,0.20949367088607596,0.20949367088607596,0.2,0.2,0.005714285714285714,0.005714285714285714,False,True
2021-06-03,Mexico,Costa Rica,11.0,50.0,0,0,2,-39.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,57.0,57.0,-12.0,-12.0,3.0,3.0,0.06,0.06,0.0,0.0,0.0,0.0,True,False
2021-06-03,Bolivia,Venezuela,81.0,30.0,3,1,0,51.0,0.0,0.0,1.1666666666666667,1.4,2.6666666666666665,2.2,30.166666666666668,35.6,-17.0,-17.0,0.5,0.5,1.5,1.5,17.5,17.5,-24.0,-24.0,0.16666666666666666,0.2,0.0047619047619047615,0.005714285714285714,0.75,0.75,0.04411764705882353,0.04411764705882353,True,False
2021-06-03,Uruguay,Paraguay,9.0,35.0,0,0,2,-26.0,0.0,0.0,1.75,1.75,1.75,1.75,23.5,23.5,-8.0,-8.0,1.5,1.5,1.25,1.25,33.5,33.5,15.0,15.0,1.5,1.5,0.11911764705882352,0.11911764705882352,1.5,1.5,0.07577819332566169,0.07577819332566169,True,False
2021-06-03,Argentina,Chile,8.0,19.0,1,1,2,-11.0,0.0,0.0,1.5,1.5,0.5,0.5,49.5,49.5,13.0,13.0,1.6,1.6,1.4,1.4,29.4,29.4,-12.0,-12.0,2.5,2.5,0.06011160714285715,0.06011160714285715,1.4,1.4,0.052594936708860764,0.052594936708860764,True,False
2021-06-03,Peru,Colombia,27.0,15.0,0,3,1,12.0,0.0,0.0,1.0,1.0,2.5,2.5,17.0,17.0,-11.0,-11.0,1.5,1.5,2.75,2.75,27.25,27.25,9.0,9.0,0.25,0.25,0.00625,0.00625,1.0,1.0,0.04470588235294118,0.04470588235294118,True,False
2021-06-04,Brazil,Ecuador,3.0,53.0,2,0,0,-50.0,0.0,0.0,3.0,3.0,0.5,0.5,33.0,33.0,13.0,13.0,3.0,3.0,1.4,1.4,36.6,36.6,41.0,41.0,3.0,3.0,0.17801948051948052,0.17801948051948052,2.4,2.4,0.17518987341772152,0.17518987341772152,True,False
2021-06-08,Ecuador,Peru,53.0,27.0,1,2,1,26.0,0.0,0.0,2.5,3.0,1.5,1.6,31.0,35.4,45.00999999999999,45.00999999999999,0.8,0.8,2.6,2.6,16.6,16.6,-32.11999999999989,-32.11999999999989,2.0,2.4,0.1459915611814346,0.17518987341772152,0.2,0.2,0.005,0.005,True,False
2021-06-08,Colombia,Argentina,15.0,8.0,2,2,2,7.0,0.0,0.0,1.8,1.8,2.2,2.2,27.2,27.2,-21.339999999999918,-21.339999999999918,1.4,1.4,0.6,0.6,43.4,43.4,18.950000000000045,18.950000000000045,1.4,1.4,0.05798692810457516,0.05798692810457516,2.2,2.2,0.0586156015037594,0.0586156015037594,True,False
